name,Zip code,Number of reviewers,Overall score,Cleanliness,Comfort,Facilities,Staff,Value for money,Free WiFi,Location,good Fitness Center,Daily Housekeeping,Heating,Free Parking,Private Parking,Airport Shuttle (free),Spa,On-site Parking,Fitness Center,Room Service,Family Rooms,Parking,Airport Shuttle,Baggage Storage,Laundry,Free WiFi,Air Conditioning,Pet Friendly,Outdoor Pool,Indoor Pool,Elevator,Garden,Designated Smoking Area,Facilities for Disabled Guests,good Spa & Wellness Center,Bar,wonderful Fitness Center,Non-smoking Rooms,Terrace,Swimming Pool,very good Fitness Center,Restaurant,excellent Fitness Center,exceptional Fitness Center,24-Hour Front Desk,WiFi,BBQ Facilities,Dist
Arlo NoMad,10016,"3,221",8.8,9.3,8.6,8.6,9.1,8.1,9.2,9.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,(1.5 miles from center)
EVEN Hotel New York - Midtown East 44th,10017,"1,664",8.7,9,8.7,8.4,8.7,8.1,8.9,9,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,(1.2 miles from center)
Courtyard by Marriott Times Square West,10018,"2,384",8.7,9.1,8.7,8.4,8.9,7.9,8.6,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,(1.1 miles from center)
World Center Hotel,10006,"2,762",8.6,8.8,8.6,8.5,8.6,8.1,9,9.2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,(4.3 miles from center)
Midtown West 2 Bedroom Apartment,10018,41,8.5,8.8,8.8,8.6,8.4,7.9,8.9,8.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(1.2 miles from center)
Trump International New York,10023,775,8.8,9.2,9,8.6,8.8,7.8,9.1,9.5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,(500 feet from center)
Novotel New York Times Square,10019,"3,536",8.5,8.8,8.7,8.3,8.2,7.6,8.4,9.4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,"(2,150 feet from center)"
Sixty LES,10002,850,8.2,8.4,8.2,8,8.6,7.2,7.7,8.7,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,(3.1 miles from center)
The Standard - East Village,10003,702,8.8,9.1,8.8,8.5,8.9,7.9,8.8,9.3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,(2.8 miles from center)
Andaz 5th Avenue-a concept by Hyatt,10017,684,8.7,8.9,8.9,8.5,8.6,7.8,9.3,9.4,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,(1.1 miles from center)
The Dominick Hotel,10013,"1,147",8.5,8.8,8.8,8.4,8.5,7.6,8.7,8.9,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,(3.1 miles from center)
Doubletree By Hilton New York Times Square West,10018,"3,376",8.0,8.3,7.8,7.7,8.3,7.5,8,8.6,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,(1 miles from center)
Candlewood Suites NYC -Times Square,10018,"2,338",8.1,7.7,8.1,7.9,8.2,7.6,8.6,8.9,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(1 miles from center)
Suite Di Classe - East Village free street parking & wifi,10009,0,0,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(2.6 miles from center)
"Upper East Side, 2 Bedroom, Close to Everything, Central Park, Metro, 5th ave, Museums",10021,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(1.5 miles from center)
Hotel Hayden New York,10001,825,8.1,7.9,8,7.7,8.5,7.5,8.2,8.9,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,(1.6 miles from center)
Il ponte LES suite/ free wifi & street parking,10002,0,0,,,,,,,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(3.1 miles from center)
