name,Zip code,numRev,Score,Cleanliness,Comfort,Facilities,Staff,Value for money,Free WiFi,Location,Free Parking,On-site Parking,Fitness Center,Family Rooms,Parking,Airport Shuttle,Air Conditioning,Free WiFi.1,Laundry,Pet Friendly,Outdoor Pool,Facilities for Disabled Guests,Bar,Non-smoking Rooms,Terrace,Swimming Pool,24-Hour Front Desk,Dist
Global Luxury Suites at Figueroa Street,90015.0,11.0,8.3,8.2,8.6,8.2,8.6,8.0,10.0,8.4,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1.2
Tuck Hotel,90014.0,204.0,9.0,9.4,9.2,8.7,9.4,8.4,8.9,8.7,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0.9
Urban DTLA Resort Style Flamingo Suite,90017.0,13.0,9.0,8.7,9.4,9.4,8.5,8.7,10.0,9.2,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1.0
Homewood Suites By Hilton Los Angeles International Airport,90045.0,729.0,9.0,9.3,9.3,9.0,8.8,8.4,8.6,9.0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,11.2
Modern 2BR/2BA in the Heart of Hollywood,90028.0,19.0,8.5,8.3,8.5,8.2,8.3,8.4,2.5,9.2,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,6.2
Studio Plus - Hollywood Luxury 2BR APT,90028.0,156.0,8.2,7.9,8.5,8.1,7.8,8.0,9.1,9.2,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,6.2
Loft on Hollywood Walk of Fame,90028.0,29.0,8.6,8.1,8.5,8.7,8.9,8.3,9.2,9.2,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,6.2
The Hollywood Roosevelt,90028.0,1947.0,8.3,8.6,8.2,8.2,8.5,7.0,6.0,9.1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,6.2
Crowne Plaza Los Angeles International Airport,90045.0,3797.0,8.1,8.4,8.2,7.9,8.2,7.4,8.0,8.3,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,10.6
Residence Inn by Marriott Los Angeles LAX/Century Boulevard,90045.0,1231.0,8.6,8.9,8.9,8.7,8.6,8.0,8.5,8.5,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,10.6
Urban Downtown LA Moroccan Resort Suite,90115.0,29.0,8.8,8.5,9.0,8.7,9.1,8.4,9.4,8.9,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1.3
Villa Delle Stelle,90028.0,203.0,8.9,9.0,9.0,8.9,9.2,8.3,7.2,9.2,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,5.0
The Beverly Hilton,90210.0,545.0,8.0,8.4,8.1,7.9,8.2,6.8,6.1,6.2,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0,9.3
Fabulous Apt Walk to Santa Monica Beach 17,90401.0,18.0,9.4,10.0,9.3,9.5,9.3,8.6,7.5,9.9,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,14.3
The LINE Hotel,90010.0,1218.0,8.2,8.7,8.2,8.3,8.4,7.3,8.7,8.4,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,3.1
Los Stylish Apartment Nice Area DTLA,90017.0,23.0,8.6,8.6,8.8,8.6,8.5,8.2,8.3,8.7,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1.3
Hollywood Glamourous Apartment,90028.0,10.0,9.0,8.8,9.3,9.3,8.6,8.5,7.5,9.3,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,5.6
Downtown LA Brilliant 5 Beds Pool,90017.0,11.0,8.6,9.3,8.9,8.0,8.9,8.4,7.5,8.4,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1.3
Sirtaj Hotel,90212.0,332.0,8.4,8.7,8.2,8.0,8.6,7.6,9.1,9.2,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,8.7
"The Ritz-Carlton, Los Angeles L.A. Live",90015.0,98.0,8.6,9.0,8.7,8.6,8.9,7.5,7.0,8.7,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1.4
Urban Downtown LA Resort Style Suite,90017.0,8.0,7.9,7.8,7.5,8.5,8.1,7.8,7.5,7.8,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1.3
Titta Inn,90032.0,2344.0,8.3,8.4,8.1,8.2,9.3,8.5,8.8,7.6,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,5.6
Penthouse Highrise,90010.0,15.0,8.8,8.8,8.8,8.7,8.8,8.3,5.0,9.0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,2.8
"Luxury Apartment with pool, by the Pacific Ocean",90292.0,18.0,8.7,8.5,8.9,8.6,8.9,8.1,9.3,8.6,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,13.0
Wyndham Santa Monica At The Pier,90401.0,1433.0,7.8,8.1,7.7,7.3,8.1,6.3,7.5,9.0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0,14.3
W Hollywood,90028.0,698.0,7.9,8.3,8.1,7.9,8.0,6.6,4.9,8.5,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,5.6
